MatrixSize,BlockSize,Time
2048, 64, 0.007904
2048, 128, 0.008096
2048, 256, 0.007424
2048, 512, 0.00864
4096, 64, 0.008512
4096, 128, 0.009536
4096, 256, 0.010464
4096, 512, 0.0088
8192, 64, 0.009056
8192, 128, 0.00912
8192, 256, 0.00944
8192, 512, 0.009152
