MatrixSize,BlockSize,Time
2048, 64, 0.01728
2048, 128, 0.020096
2048, 256, 0.01696
2048, 512, 0.018112
4096, 64, 0.019616
4096, 128, 0.019392
4096, 256, 0.017888
4096, 512, 0.019936
8192, 64, 0.0184
8192, 128, 0.0184
8192, 256, 0.017312
8192, 512, 0.021728
16384, 64, 0.036832
16384, 128, 0.019648
16384, 256, 0.019136
16384, 512, 0.019232
